Date,Open,High,Low,Close,Volume
10-Mar-17,1998000.00,2021000.00,1993000.00,2009000.00,202235
9-Mar-17,2010000.00,2015000.00,2001000.00,2010000.00,228043
8-Mar-17,2010000.00,2031000.00,2007000.00,2010000.00,216680
7-Mar-17,1990000.00,2016000.00,1990000.00,2010000.00,210620
6-Mar-17,1961000.00,2011000.00,1961000.00,2004000.00,243717
3-Mar-17,1967000.00,1986000.00,1958000.00,1981000.00,253695
2-Mar-17,1921000.00,1993000.00,1921000.00,1986000.00,415658
28-Feb-17,1903000.00,1938000.00,1898000.00,1922000.00,299622
27-Feb-17,1901000.00,1907000.00,1885000.00,1903000.00,174814
24-Feb-17,1948000.00,1955000.00,1903000.00,1911000.00,175650
23-Feb-17,1951000.00,1972000.00,1951000.00,1959000.00,200399
22-Feb-17,1950000.00,1967000.00,1949000.00,1965000.00,170622
21-Feb-17,1927000.00,1978000.00,1921000.00,1947000.00,209320
20-Feb-17,1911000.00,1939000.00,1908000.00,1933000.00,149445
17-Feb-17,1878000.00,1902000.00,1864000.00,1893000.00,301506
16-Feb-17,1890000.00,1918000.00,1889000.00,1901000.00,204049
15-Feb-17,1854000.00,1898000.00,1854000.00,1886000.00,277510
14-Feb-17,1898000.00,1913000.00,1866000.00,1879000.00,260584
13-Feb-17,1887000.00,1903000.00,1886000.00,1898000.00,207670
10-Feb-17,1920000.00,1938000.00,1915000.00,1918000.00,213887
9-Feb-17,1939000.00,1942000.00,1911000.00,1920000.00,262976
8-Feb-17,1937000.00,1939000.00,1910000.00,1920000.00,257394
7-Feb-17,1978000.00,1979000.00,1938000.00,1941000.00,243302
6-Feb-17,1979000.00,1983000.00,1957000.00,1978000.00,176407
3-Feb-17,1970000.00,1975000.00,1959000.00,1973000.00,169092
2-Feb-17,1980000.00,1983000.00,1960000.00,1968000.00,237562
1-Feb-17,1977000.00,1983000.00,1952000.00,1956000.00,259847
31-Jan-17,1995000.00,1995000.00,1973000.00,1973000.00,283156
